key,image,label,sentence
1_S10E09_066,1_S10E09_066_u,1.0,"  Bert is studying the way microbes in rocks can survive in extreme environmental conditions. They say it could be a potential indicator of life on other planets. You know what, I've met Bert. Isn't he an indicator of life on other planets?"
2_158,2_158_u,1.0,  We brought dinner. What you get? A bucket of chicked. I hope you like it extra flat and crispy
1_S10E06_091,1_S10E06_091_u,0.0,"  What's all this? Oh, everything we need for your autograph session-- head shots, markers. Okay. Leonard, it's sweet you're excited about this, but it'll be a miracle if one person asks for my autograph. Are you kidding? I once paid $20 for Theo Sassler's signature."
2_284,2_284_u,0.0,"  I do! Want a hint? huh? ""I do""  ""I do"". Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. David is going to propose to Phoebe. What?  Why?"
3_S06E01_317,3_S06E01_317_u,0.0,"  So, how do we get rid of this fucker? Look, Richard, I don't like this any more than you do, but we can't get rid of Colin. He's our most profitable developer by far."
2_115,2_115_u,1.0,"  Hey I am sorry, we donÕt have your sheep."
2_160,2_160_u,0.0,"  I am sorry, why did Phoebe and Mike breakup? Because his penis was too big. I am sorry, thatÕs the kind of thing I do."
1_S11E13_362,1_S11E13_362_u,1.0,  What is happening? I was trying not to wake you. Did it work?
2_197,2_197_u,1.0,"  Did you call the cops? No, we took her to lunch Ah your own brand of vigilante justice."
1_S11E06_448,1_S11E06_448_u,0.0,"  Hello, Arthur. You-you know, we could... we could also meet in-in a deli. I'm sorry to say that I failed you. I tried to stop Wil Wheaton being Professor Proton, but I couldn't. See, now, that's-that's the kind of thing you could tell a fella over a... pastrami sandwich. Well, don't worry. He's now on my enemies list forever. He's totally cut off."
2_129,2_129_u,1.0,  Oh Dorothy would please open this jar of nuts for me? You couldn't get it open? Oh I didn't try. I don't wanna risk cracking a nail. What are these? Claws?
1_2216,1_2216_u,0.0,"  Unlike you, I can actually talk to women when I'm sober. You fail to take into account that even mute, I am foreign and exotic, while you, on the other hand, are frail and pasty. You know the old saying, ""Pasty and frail never fail."" Excuse me, but what about me? Why don't I get a shot?"
1_1666,1_1666_u,0.0,"  it will establish you as the ""alpha"" male. You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" Huh Would it work if I just punched you in the face?"
1_11120,1_11120_u,0.0,"  There's nothing weird going on with me and your mother. Stewie, your bath is getting cold! I got to go, bye. Penny?
Penny.
Penny.
Penny.
Penny. You knocked more than usual. Next time I might be in a rush, it's good to have a few in the bank."
2_487,2_487_u,1.0,"  I can't take it any more! So you win, okay? Pheebs? Flying a jet? Better make it a spaceship so that you can get back to your home planet! And Ross, phone call for you today. Tom Jones, he wants his pants back! And Hornswoggle? What? Are you dating a character from ""Fraggle Rock""? Ahh."
3_S01E08_422,3_S01E08_422_u,1.0,"  I'm sorry. I shouldn't have rewritten all this code. I mean, what we had before worked. I'm sorry, guys. Gavin won. We lost. At least it didn't happen in a public and brutally embarrassing way."
1_5919,1_5919_u,0.0,"  Your movies and your TV shows promised streets paved with beautiful blonde women with big bazongas. Eat another pie, you'll have your own bazongas. That's cruel. You know it goes straight to my hips. Gentlemen, please focus. You're facing a fire-breathing dragon. I don't know if I want to play anymore. Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble."
1_S12E07_092,1_S12E07_092_u,0.0,"  for helping out yesterday. - No problem. - That was really fun. - It was fun. But I am sore. You didn't lift a finger. No, but I narrated the entire event, and I am paying for it today. - Gentlemen. - Hey. - Hi. Leonard, do I detect a little swagger in your step?"
2_261,2_261_u,0.0,"  I'll tell you what. When we're 40, if neither one of us are married, what do you say you and I get together and have one? Why won't I be married when I'm 40? Oh, no, no. I just meant hypothetically."
1_S09E03_233,1_S09E03_233_u,0.0,"  You know, if he finds out we eloped, it's gonna break his heart. How long do you think you can keep it from him?"
1_S12E01_139,1_S12E01_139_u,1.0,"  There. See? Oh, he's in here. I can smell his Axe body spray. He wears Axe body spray. You happy? You smell like Amy's dad."
1_3259,1_3259_u,1.0,"  Thank you. So, shall we get started? Sure.
But can I ask you a question first? Do you want to play Cylon and colonist? I want to know why you're playing make-believe with me when you could be out with a real woman tonight. You mean, Bernadette? No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you."
1_S10E01_075,1_S10E01_075_u,1.0,"  When Beverly gets here, do not bring up last night. All right? As far as you're concerned, you didn't see anything. I want you just to play dumb. It was nice of her to show us playing dumb with an example."
1_S10E01_474,1_S10E01_474_u,1.0,"  Your friends are just lovely. Oh, thanks, Mom. Although that Sheldon is a bit peculiar. Is he? I never noticed."
1_11232,1_11232_u,1.0,"  And I love that you're strong and independent. And yet, I still love when you hold a door for me. I love that I'm kind of a slob around here, and...
you're okay with that. Uh-huh. And I love that I work and do all the cleaning, and you're okay with that."
2_590,2_590_u,0.0,"  Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one? Yeah, sure. Umm .. here. Great.  You got anything that's not Yeah, I don't think so Joe."
1_S11E10_228,1_S11E10_228_u,1.0,"  Why not? 15 years of constant ridicule. I-I think our relationship has become toxic. Uh, what are you saying? I think you and I need to spend some time away from each other. Look, I... I can see you're upset, but... I'm gonna need some ground rules. I mean, while we're apart, can I see other needy Indian men?"
